ID,Title,Year,Author,Genre,UserID
1,Diuna,2017,Frank Herbert,S-F,0
2,Paradyzja,2004,Janusz Zajdel,S-F,0
3,Chrześcijaństwo po prostu,1996,C.S. Lewis,teologia,0
4,Pani Jeziora,2014,Andrzej Sapkowski,fantasy,0
5,Chrzest Ognia,2014,Andrzej Sapkowski,fantasy,0
6,Wieża Jaskółki,2014,Andrzej Sapkowski,fantasy,0
7,Listy starego diabła do młodego,1996,C.S. Lewis,teologia,0
8,Symfonia C++,2015,Jerzy Grębosz,informatyka,0
